City,Cloudliness,Humidity,Lat,Lng,Temp,Wind Speed
selfoss,75,61,63.94,-21.0,50.95,28.86
lebowakgomo,12,26,-24.3,29.54,80.6,12.75
wuwei,80,83,37.93,102.64,64.62,2.39
gat,8,67,14.69,-16.54,85.77,12.8
roma,0,43,41.89,12.48,87.51,4.7
te anau,92,90,-45.41,167.72,42.49,5.41
pachino,0,29,36.72,15.09,89.6,9.17
charyshskoye,12,36,51.4,83.56,76.15,7.87
skibbereen,75,72,51.55,-9.27,59.0,11.41
vanavara,20,90,60.35,102.28,52.56,0.94
khorixas,0,15,-20.37,14.96,83.97,5.64
marzuq,56,31,14.4,46.47,88.02,3.96
arraial do cabo,75,93,-22.97,-42.02,64.35,4.7
prince george,1,54,53.92,-122.75,55.4,6.93
oranjestad,20,83,12.52,-70.03,80.6,17.22
cairns,40,60,-16.92,145.77,73.4,8.05
sumenep,20,90,-7.02,113.87,80.82,11.34
lasa,20,70,34.92,32.53,86.0,13.87
havoysund,75,87,71.0,24.66,48.43,16.11
adre,76,92,13.47,22.2,78.75,6.98
tilichiki,80,93,60.47,166.1,51.85,2.95
la paz,32,92,24.15,-110.32,72.81,2.73
two hills,64,54,53.71,-111.75,63.27,11.45
sisimiut,92,78,66.94,-53.67,52.47,1.16
presidente prudente,40,93,-22.12,-51.39,57.2,2.24
portland,75,72,45.52,-122.67,63.86,4.7
hearst,64,86,49.69,-83.67,53.73,3.51
kungurtug,0,51,50.6,97.53,60.04,2.51
saint george,20,29,39.45,22.34,91.4,6.93
kozhva,100,98,65.11,57.05,60.12,3.96
tezu,24,91,27.93,96.16,74.07,0.83
puerto parra,12,71,6.65,-74.06,73.9,2.84
kruisfontein,80,89,-34.0,24.73,54.1,23.53
pandan niog,92,95,6.23,120.56,84.96,14.58
poronaysk,76,72,49.22,143.1,61.3,5.19
valleyview,20,42,55.07,-117.28,64.08,13.69
broome,0,37,52.47,1.45,81.99,9.17
sao filipe,36,98,14.9,-24.5,76.41,5.64
bonavista,80,87,48.65,-53.11,62.29,7.76
dudinka,80,67,69.41,86.18,57.51,14.7
healdsburg,40,81,38.61,-122.87,55.11,5.82
gornyy,8,47,51.76,48.54,85.41,8.99
coari,32,86,-4.09,-63.14,76.86,4.85
derzhavinsk,0,53,51.1,66.31,83.89,5.3
filadelfia,0,86,-22.35,-60.04,66.51,15.7
nouadhibou,75,88,20.93,-17.03,71.6,4.7
cabo san lucas,48,100,22.89,-109.91,82.35,5.97
maua,0,51,0.23,37.94,75.6,7.76
hofn,80,95,64.25,-15.21,49.86,31.03
nagapattinam,80,97,10.76,79.84,76.06,3.4
pisco,90,82,-13.71,-76.2,60.8,5.82
caravelas,56,99,-17.73,-39.27,76.06,6.64
menongue,0,16,-14.66,17.68,87.31,4.52
talnakh,8,70,69.49,88.39,52.93,8.77
sept-iles,90,100,50.2,-66.38,62.6,2.62
tuy hoa,92,100,13.08,109.3,74.25,3.85
dawei,100,100,14.07,98.19,70.66,1.61
ishigaki,40,79,24.34,124.16,84.2,5.82
maragogi,88,100,-9.01,-35.22,73.54,8.99
north bend,90,100,43.41,-124.22,56.23,6.93
saint-augustin,75,65,44.83,-0.61,79.61,19.46
gravelbourg,0,61,49.88,-106.56,58.23,4.97
cherskiy,20,81,68.75,161.3,39.15,5.97
rio grande,90,100,-32.03,-52.1,48.2,5.82
necochea,88,73,-38.55,-58.74,53.91,14.7
sumbe,0,88,-11.2,13.84,72.45,7.43
kilindoni,0,90,-7.91,39.67,79.93,4.97
cascais,75,77,38.7,-9.42,69.82,14.99
telsiai,80,65,55.98,22.25,72.81,13.47
vikersund,75,68,59.97,9.99,68.0,5.82
nuevo progreso,1,88,26.05,-97.95,79.2,3.74
lerwick,75,87,60.15,-1.15,57.2,11.41
la asuncion,64,90,-1.64,-78.74,36.55,0.38
pandan,80,99,11.72,122.09,82.35,21.3
severo-yeniseyskiy,12,66,60.37,93.04,57.33,3.18
eenhana,0,15,-17.48,16.34,90.81,10.0
giyon,32,96,8.53,37.98,68.85,4.52
nelson bay,0,57,-32.72,152.14,50.0,5.82
balabac,64,93,7.99,117.06,85.15,21.85
dubbo,0,88,-32.25,148.6,44.6,2.24
ginir,8,35,7.14,40.71,82.18,10.45
vila franca do campo,75,60,37.72,-25.43,71.6,4.7
anloga,40,78,5.79,0.9,78.8,14.99
alta gracia,0,82,-31.66,-64.43,57.2,13.87
alugan,92,89,12.22,125.48,83.16,9.66
kununurra,0,35,-15.77,128.74,69.8,4.7
lich,0,31,50.52,8.82,87.8,6.93
itamaraca,75,83,-7.75,-34.83,75.07,5.82
san cristobal,40,100,-0.39,-78.55,48.2,11.41
saldanha,0,51,41.42,-6.55,77.76,7.54
turukhansk,68,72,65.8,87.96,58.32,8.88
ikongo,0,66,-21.88,47.44,75.16,3.74
kirakira,64,100,-10.46,161.92,80.91,13.91
cristalina,32,69,-16.77,-47.61,69.85,12.01
linqiong,20,70,30.42,103.46,84.2,2.24
kaabong,8,72,3.51,34.14,77.22,2.06
kavaratti,92,94,10.57,72.64,83.52,23.42
bintulu,75,79,3.17,113.03,87.8,4.7
galle,20,100,29.74,-97.91,74.53,6.93
nioro,80,100,13.79,-15.05,79.47,6.98
castenaso,0,48,44.51,11.47,89.04,5.82
najran,40,17,17.54,44.22,98.6,9.17
kudahuvadhoo,92,100,2.67,72.89,82.71,15.03
krasnohrad,24,76,49.38,35.45,77.94,9.44
henties bay,0,78,-22.12,14.28,61.66,12.46
nongpoh,90,79,25.9,91.88,87.8,9.17
san jose,92,100,15.79,120.99,72.19,2.62
mastic beach,20,100,40.77,-72.85,76.5,5.82
pelotas,90,100,-31.77,-52.34,48.2,5.82
vezirkopru,40,39,41.14,35.45,82.4,14.99
porosozero,88,61,62.72,32.71,62.37,6.2
stara synyava,8,78,49.6,27.62,75.51,7.99
vostok,32,59,46.45,135.83,62.46,3.51
jumla,100,100,29.28,82.18,43.38,2.39
lensk,76,72,60.71,114.91,62.19,4.97
gbarnga,80,90,7.0,-9.47,77.22,7.43
black diamond,1,76,50.69,-114.23,61.79,8.05
ust-nera,32,88,64.57,143.24,46.99,2.06
sao joao da barra,75,93,-21.64,-41.05,66.2,4.7
scottsbluff,1,100,41.87,-103.67,54.41,2.95
edd,44,26,13.93,41.69,102.79,3.85
mayumba,0,89,-3.44,10.65,73.26,5.86
kulhudhuffushi,100,95,6.62,73.07,83.89,21.63
denpasar,20,78,-8.65,115.22,78.8,17.22
hasaki,75,94,35.73,140.83,71.6,19.46
key west,1,93,47.93,-96.78,56.12,4.7
bhanpuri,92,100,21.1,80.92,74.16,7.99
ereymentau,36,70,51.62,73.1,74.25,6.42
launceston,75,75,-41.43,147.14,44.6,10.29
quimperle,44,69,47.87,-3.55,72.45,11.41
nieuw amsterdam,40,94,5.88,-55.08,74.21,10.33
takoradi,80,95,4.89,-1.75,77.94,11.23
kutum,76,94,14.2,24.66,77.76,6.76
sergeyevka,0,57,53.88,67.42,82.71,11.45
ambanja,20,51,-13.68,48.45,82.4,6.93
arkadak,12,62,51.94,43.49,80.19,8.88
luganville,36,100,-15.51,167.18,76.06,15.03
tarut,32,11,26.57,50.06,109.13,20.8
orlik,44,63,52.51,99.83,54.55,1.72
qasigiannguit,75,37,68.82,-51.19,53.6,23.04
hauge,75,68,59.25,10.99,69.8,14.99
nokaneng,0,34,-19.66,22.19,90.91,1.83
laguna,0,84,27.52,-110.01,78.12,2.39
ambilobe,0,28,-13.19,49.05,89.91,7.76
geraldton,75,93,49.72,-86.95,51.8,2.62
coahuayana,80,96,18.62,-100.35,64.62,2.39
saint-joseph,0,62,43.56,6.97,87.31,8.05
tocopilla,24,100,-22.09,-70.2,52.3,2.06
tanta,0,45,30.78,31.0,94.5,9.1
westport,40,76,53.8,-9.52,55.4,9.17
samarai,76,100,-10.62,150.67,77.14,13.13
valentin gomez farias,90,82,24.05,-104.7,60.8,3.36
sarakhs,0,25,36.54,61.16,98.6,9.17
bretzfeld,40,38,49.18,9.44,86.86,9.17
sambava,0,100,-14.27,50.17,75.51,12.24
dunedin,48,88,-45.87,170.5,37.45,4.85
poum,20,53,41.28,20.71,77.0,6.93
alice town,8,100,25.72,-79.3,83.61,12.01
lekoni,0,81,-1.58,14.26,82.26,4.52
namatanai,76,100,-3.66,152.44,78.48,5.41
praia da vitoria,20,68,38.73,-27.07,71.6,4.07
vardo,1,94,39.62,-77.74,70.7,3.36
provost,44,54,52.35,-110.26,61.75,7.09
san javier,20,74,37.81,-0.83,88.02,8.05
artyom,100,73,43.36,132.19,69.8,6.71
calvia,40,66,39.57,2.51,87.8,14.99
wahpeton,1,87,46.27,-96.61,59.72,3.36
tochio,75,65,37.47,139.0,78.8,2.24
wiwili,92,96,13.63,-85.83,69.48,3.06
kijang,20,66,35.24,129.21,86.0,10.29
banepa,75,94,27.63,85.52,71.6,20.8
ilhabela,88,100,-23.78,-45.36,63.64,1.5
yulara,0,30,-25.24,130.99,53.6,1.12
grand gaube,75,50,-20.01,57.66,77.0,11.41
kursk,75,44,51.74,36.18,78.8,11.18
inuvik,90,87,68.36,-133.71,48.2,5.82
ahuimanu,75,74,21.44,-157.84,78.78,10.29
ostrovnoy,92,77,68.05,39.51,52.3,15.26
mansfield,1,78,32.56,-97.14,79.03,4.7
svetlaya,0,99,46.54,138.33,63.0,9.89
ilulissat,75,37,69.22,-51.1,53.6,23.04
mount isa,0,25,-20.73,139.49,51.8,5.82
ouadda,100,88,8.07,22.4,76.23,8.66
mercedes,8,85,-33.25,-58.03,52.47,14.14
coihaique,0,98,-45.58,-72.07,27.95,4.7
dharchula,92,97,29.85,80.53,58.06,0.6
agirish,68,71,61.92,63.02,69.48,6.76
altay,48,45,47.83,88.13,65.97,3.51
corn island,92,100,12.17,-83.04,79.47,10.78
melito di porto salvo,0,55,37.92,15.77,86.88,19.46
kenora,20,93,49.76,-94.48,60.06,8.05
west bay,75,72,50.71,-2.76,72.27,11.41
cabinda,75,83,-5.56,12.19,73.4,5.82
mayor pablo lagerenza,76,89,-19.93,-60.77,67.41,14.03
hobyo,0,50,5.35,48.53,86.68,20.4
nobeoka,8,91,32.66,131.66,75.16,1.61
havelock,1,100,34.88,-76.9,76.64,4.7
mumford,56,78,5.26,-0.76,80.1,13.47
labuhan,48,83,-2.54,115.51,76.6,2.62
teahupoo,20,69,-17.83,-149.27,73.4,3.36
singen,0,29,50.73,11.06,91.4,14.99
belyy yar,0,31,53.6,91.39,75.2,8.95
manta,24,79,45.1,24.1,79.3,2.95
monywa,12,78,22.12,95.13,84.51,4.74
tadine,0,100,-21.55,167.88,68.22,9.22
arlit,8,59,18.74,7.39,91.62,8.55
abakaliki,75,74,6.32,8.11,80.6,6.93
iwanai,12,93,42.97,140.51,66.16,8.21
rorvik,32,87,64.86,11.24,61.93,4.63
shelburne,1,93,44.08,-80.2,67.53,4.7
biak,92,97,-0.91,122.88,76.23,5.75
acapulco,40,94,16.86,-99.88,78.8,2.24
sinnamary,44,96,5.38,-52.96,81.45,7.43
marietta,1,88,33.95,-84.55,72.99,1.5
chapais,90,100,49.78,-74.86,57.2,3.36
jensen beach,1,94,27.25,-80.23,75.58,4.07
ayodhya,8,92,26.8,82.21,83.25,8.32
puerto baquerizo moreno,64,100,-0.9,-89.6,70.56,16.04
trinidad,0,87,-33.52,-56.9,48.2,9.17
balkhash,0,59,46.84,74.98,83.25,1.95
hede,0,46,60.45,15.49,69.8,8.05
moussoro,32,64,13.64,16.49,91.0,10.0
ouegoa,56,90,-20.34,164.44,67.86,4.41
otjiwarongo,0,22,-20.46,16.65,83.25,8.77
japoata,20,61,-10.35,-36.8,82.18,9.89
tagusao,76,93,9.19,117.81,79.75,15.93
surt,20,63,31.21,16.59,90.36,17.6
farmington,1,17,36.73,-108.21,56.64,6.93
salalah,75,88,17.01,54.1,80.6,12.75
xuddur,0,29,4.12,43.89,89.56,16.15
santa rosa,92,60,-36.62,-64.29,58.86,9.22
jinchang,92,69,38.52,102.19,66.51,2.73
wuda,76,39,39.5,106.72,78.31,4.97
paka,20,51,45.29,18.06,86.0,4.7
kayes,8,84,14.44,-11.44,85.06,10.67
chesma,76,39,53.81,60.65,83.44,12.68
taoudenni,0,22,22.68,-3.98,105.48,4.63
spokane,40,39,47.66,-117.42,62.89,5.82
maibong,12,74,25.3,93.13,83.25,2.17
abu zabad,92,100,12.35,29.25,74.44,4.18
northam,75,72,51.04,-4.21,68.0,11.41
yar-sale,92,83,66.83,70.83,58.77,14.7
yenagoa,88,82,4.92,6.26,80.29,10.11
basoko,24,74,1.23,23.61,85.95,3.74
soyo,0,62,-6.13,12.37,79.66,4.18
tuatapere,92,100,-46.13,167.69,46.08,4.29
lamar,1,77,38.09,-102.62,68.0,11.41
freeport,0,94,26.54,-78.7,83.61,9.89
chickasha,1,69,35.05,-97.94,75.65,5.82
sada,75,68,43.35,-8.25,68.0,3.36
yorosso,92,100,12.35,-4.78,72.64,10.33
los llanos de aridane,20,73,28.66,-17.92,77.0,16.11
isangel,24,100,-19.55,169.27,72.45,11.68
canutama,44,94,-6.53,-64.38,73.54,3.4
wageningen,0,22,51.98,5.66,91.4,4.7
lima,12,78,-12.06,-77.04,53.19,2.51
tanout,36,62,14.97,8.88,85.86,9.66
sorland,75,62,67.67,12.69,57.2,6.93
baijiantan,56,23,45.63,85.18,96.31,9.66
yichun,8,88,27.8,114.38,82.71,2.51
ulladulla,20,100,-35.36,150.48,51.8,21.92
kharp,92,100,66.82,65.8,58.41,3.96
narasaraopet,92,87,16.24,80.05,80.82,7.99
le vauclin,40,83,14.55,-60.84,79.81,9.17
alyangula,0,96,-13.85,136.42,75.69,17.27
banon,0,41,44.04,5.63,89.6,9.17
aksu,90,88,52.04,76.93,62.6,11.18
coruripe,68,90,-10.12,-36.18,78.66,14.47
weligama,80,81,5.97,80.42,82.26,17.38
new ulm,90,93,44.31,-94.46,63.72,4.7
hailey,1,50,43.52,-114.32,55.4,9.17
chern,76,44,53.45,36.91,77.58,13.69
kandrian,0,98,-6.21,149.55,71.82,3.62
mackenzie,90,66,55.34,-123.09,55.4,2.24
russell,0,54,-33.01,-68.8,53.6,5.82
pacific grove,90,100,36.62,-121.92,52.7,5.82
richards bay,0,57,-28.77,32.06,74.61,8.21
beinamar,76,84,8.67,15.38,83.07,10.0
sola,40,73,58.89,5.65,69.8,16.11
homer,75,82,59.64,-151.54,60.89,6.93
caranavi,0,79,-15.83,-67.57,58.23,1.28
akdepe,0,32,42.05,59.39,92.28,16.11
karaidel,64,63,55.83,56.91,73.54,6.31
blagoyevo,92,100,63.37,47.92,54.0,4.74
harper,1,78,30.3,-99.24,72.93,7.65
haines junction,56,83,60.75,-137.51,44.91,3.85
abilene,1,65,32.45,-99.73,76.37,9.17
